iter	Logloss
0	0.6851662267
1	0.6762511257
2	0.6659454165
3	0.6584085793
4	0.6488830913
5	0.6414517283
6	0.6321747157
7	0.6245602334
8	0.6153714242
9	0.6080503068
10	0.599756134
11	0.591962991
12	0.5837507146
13	0.5753115727
14	0.5669731134
15	0.5596996125
16	0.5506569562
17	0.5441866536
18	0.5384855634
19	0.5305817842
20	0.5234301264
21	0.5160125218
22	0.5105008717
23	0.5044893206
24	0.4978217442
25	0.4903329937
26	0.4839320267
27	0.4781934463
28	0.4724577102
29	0.4661279459
30	0.4604408889
31	0.4541768485
32	0.449130693
33	0.4430438547
34	0.437218619
35	0.4322414237
36	0.4274921486
37	0.4220505062
38	0.4166001603
39	0.4115489217
40	0.407179071
41	0.4021698407
42	0.3966820305
43	0.3929663953
44	0.3883352822
45	0.3832006877
46	0.3788379438
47	0.3742858283
48	0.3700984174
49	0.3650292783
50	0.3608001403
51	0.3570340547
52	0.3534923104
53	0.3496980729
54	0.3462843969
55	0.3426916793
56	0.33847546
57	0.3342718807
58	0.3303202188
59	0.3258369412
60	0.3226886237
61	0.3188787798
62	0.3161225479
63	0.3133388976
64	0.3098107762
65	0.307169119
66	0.3039658095
67	0.3005837688
68	0.2978730068
69	0.2952445177
70	0.2922325806
71	0.2890304377
72	0.2853342857
73	0.2828735425
74	0.2798794604
75	0.2771737052
76	0.2744815955
77	0.2715900534
78	0.2687291437
79	0.2660826592
80	0.2636792463
81	0.2608706404
82	0.257965835
83	0.254852406
84	0.2524892922
85	0.2495783248
86	0.2471105232
87	0.2451126079
88	0.2429723727
89	0.2398992263
90	0.2378070012
91	0.2353677554
92	0.2327968447
93	0.2305162577
94	0.2285943356
95	0.2259759168
96	0.2241226835
97	0.2223581679
98	0.2203588903
99	0.2184589473
100	0.2166541452
101	0.2146578769
102	0.2128609635
103	0.2105243736
104	0.2085893113
105	0.2064425616
106	0.2042154597
107	0.2024924308
108	0.2002770677
109	0.1987688348
110	0.1968857169
111	0.1953961256
112	0.1933097028
113	0.1918265909
114	0.1899968504
115	0.1885608467
116	0.1866825837
117	0.1851980038
118	0.183507733
119	0.1820037362
120	0.1801515603
121	0.1786646521
122	0.1774100299
123	0.1756036738
124	0.1746815025
125	0.1732865038
126	0.1715472534
127	0.1700819647
128	0.1685817461
129	0.1675060792
130	0.1658202583
131	0.164557916
132	0.1631412584
133	0.1614229872
134	0.1601560793
135	0.1589118145
136	0.1575285947
137	0.1562638232
138	0.1551566122
139	0.1541399109
140	0.1526597409
141	0.1515311537
142	0.1505500545
143	0.149433913
144	0.1481222829
145	0.146968432
146	0.1454486197
147	0.144143497
148	0.1434231484
149	0.1425668062
150	0.1414472346
151	0.1404602352
152	0.1392834496
153	0.1382085612
154	0.1372365566
155	0.1360681166
156	0.1352445257
157	0.1343418132
158	0.1333882734
159	0.1323884699
160	0.1312946091
161	0.1303171033
162	0.1294456716
163	0.1283455245
164	0.1274291058
165	0.1264394692
166	0.1256348395
167	0.1246474262
168	0.1237267407
169	0.1230384318
170	0.1221640094
171	0.1213834561
172	0.1205862987
173	0.1194247243
174	0.1185397131
175	0.1178478003
176	0.1168108142
177	0.1156935353
178	0.1149156195
179	0.1142576163
180	0.1135601249
181	0.1128059686
182	0.1119991631
183	0.1114543328
184	0.110615771
185	0.109816166
186	0.1090455218
187	0.1082662327
188	0.1073580229
189	0.106726454
190	0.1061293481
191	0.105251399
192	0.1045512264
193	0.1038933681
194	0.1032833625
195	0.1025423668
196	0.1015623869
197	0.1008563897
198	0.1000797308
199	0.09967389725
200	0.09919873885
201	0.098607437
202	0.09786813136
203	0.09742553373
204	0.09680862434
205	0.0962421157
206	0.09568447252
207	0.09511019646
208	0.09448536918
209	0.09389880366
210	0.09329569181
211	0.09261985759
212	0.09205756278
213	0.0915033378
214	0.09108015175
215	0.09049992382
216	0.08998056962
217	0.08954269567
218	0.08887469237
219	0.08830929294
220	0.0877484173
221	0.08720907291
222	0.08669858788
223	0.08598446357
224	0.08559495336
225	0.08523237768
226	0.08472396532
227	0.08416690783
228	0.08372962986
229	0.08316567395
230	0.08256117489
231	0.08208310739
232	0.08158045417
233	0.08107137521
234	0.0805943758
235	0.0800767861
236	0.07961003856
237	0.07884736271
238	0.07854167794
239	0.07827547271
240	0.07789048881
241	0.07731051038
242	0.07685999778
243	0.0764160491
244	0.07609070223
245	0.07569747768
246	0.07523707924
247	0.07478595229
248	0.07433895648
249	0.07397587796
250	0.07365401492
251	0.07322772154
252	0.07293816894
253	0.07252818952
254	0.07217987284
255	0.07180920363
256	0.07141137155
257	0.07111570056
258	0.07075927666
259	0.0703261117
260	0.06998717004
261	0.06960261665
262	0.06924776028
263	0.06877075488
264	0.06841444776
265	0.06809848985
266	0.06780739744
267	0.06752699264
268	0.06713789696
269	0.06682586985
270	0.06646469616
271	0.06615900786
272	0.06579772005
273	0.0655770853
274	0.06523581777
275	0.06475389121
276	0.06442892755
277	0.06407571308
278	0.06375791391
279	0.06356833129
280	0.0633033399
281	0.06308447351
282	0.06287864938
283	0.06254883421
284	0.06219890689
285	0.06185687379
286	0.06155881734
287	0.06134864596
288	0.06106021064
289	0.06077988727
290	0.06049216756
291	0.06024418691
292	0.05993203058
293	0.05961306226
294	0.0593938713
295	0.05915913535
296	0.05897598543
297	0.05873024803
298	0.05847139203
299	0.05811191521
300	0.0578190056
301	0.05755395497
302	0.05727339809
303	0.05693321873
304	0.05667967987
305	0.05644471788
306	0.05618203588
307	0.05599509415
308	0.05569915252
309	0.05544024108
310	0.05523315129
311	0.05500848854
312	0.05479204587
313	0.05457184318
314	0.05436247801
315	0.05410443899
316	0.05390386222
317	0.05368031105
318	0.05331911586
319	0.05318623609
320	0.05295289039
321	0.05266860194
322	0.05243849776
323	0.05225357015
324	0.05208638631
325	0.05182892935
326	0.05158653248
327	0.05143951212
328	0.05127647374
329	0.05111323605
330	0.05090871977
331	0.05071200663
332	0.05051617784
333	0.05034150581
334	0.050189558
335	0.05000550581
336	0.04980849624
337	0.04958286548
338	0.04940442133
339	0.04917262858
340	0.04894996804
341	0.04873422638
342	0.04846497343
343	0.04823003461
344	0.04802012315
345	0.04778713243
346	0.0476548755
347	0.04747546193
348	0.04728040302
349	0.0470691661
350	0.04687531026
351	0.04666145268
352	0.04651847133
353	0.04638100307
354	0.04616251462
355	0.045958961
356	0.04578200167
357	0.04559121886
358	0.04537611523
359	0.04519967079
360	0.04502204683
361	0.04486901285
362	0.04469573673
363	0.04448110439
364	0.04424182041
365	0.04408073749
366	0.04388979733
367	0.04367959461
368	0.04348689387
369	0.04330847968
370	0.04312456715
371	0.04290450153
372	0.04277301999
373	0.04262874446
374	0.04249391432
375	0.04233075089
376	0.0421990065
377	0.04206639822
378	0.04188528483
379	0.0417549165
380	0.0416185896
381	0.04147790304
382	0.04132238655
383	0.0411119581
384	0.04101350406
385	0.04082916668
386	0.04063918493
387	0.04053570132
388	0.04036096467
389	0.04025259147
390	0.0401038651
391	0.03997718678
392	0.03984345595
393	0.039685278
394	0.03952437461
395	0.03944675752
396	0.03927611213
397	0.03913183148
398	0.03898253483
399	0.03882805713
400	0.03868384387
401	0.03853796005
402	0.03842405086
403	0.03830438463
404	0.03818425284
405	0.03803612441
406	0.03793425414
407	0.03779242207
408	0.03766977775
409	0.03756515026
410	0.03742091944
411	0.03725277563
412	0.0371291861
413	0.03697688832
414	0.03679919264
415	0.03667087972
416	0.03653882967
417	0.03641677222
418	0.03631087123
419	0.03617907395
420	0.03607209931
421	0.03596443261
422	0.03586701536
423	0.03576639264
424	0.03564900903
425	0.03551359549
426	0.03539748187
427	0.03526056175
428	0.03509537306
429	0.0349854319
430	0.0348683492
431	0.03474778926
432	0.03463393517
433	0.0345387554
434	0.0343856047
435	0.03431434501
436	0.03420097146
437	0.034121029
438	0.03402640231
439	0.0339284149
440	0.03385231777
441	0.03374337706
442	0.0335860063
443	0.0334854758
444	0.03337411053
445	0.03326200602
446	0.03315816923
447	0.03302115899
448	0.03291259742
449	0.03283129785
450	0.0327699634
451	0.03272630456
452	0.03264880538
453	0.03254408665
454	0.03244306471
455	0.03233964378
456	0.03227274145
457	0.03216002462
458	0.03207730611
459	0.03194551051
460	0.03182853354
461	0.03172133218
462	0.03163958443
463	0.03150768814
464	0.03138750016
465	0.03130276087
466	0.03121870817
467	0.03110427708
468	0.03100247153
469	0.03092086875
470	0.03078435389
471	0.03069709926
472	0.03058200745
473	0.03049172524
474	0.03040336478
475	0.03030938606
476	0.03021867065
477	0.03014079303
478	0.03005023516
479	0.02993347692
480	0.02987260942
481	0.02977573947
482	0.02968815546
483	0.02959726596
484	0.02951089147
485	0.02944689843
486	0.02934228428
487	0.0292365747
488	0.02917865118
489	0.02909417528
490	0.02905473708
491	0.02894581259
492	0.02886493161
493	0.02878495318
494	0.0286899847
495	0.02861980677
496	0.02856914174
497	0.02851568955
498	0.02844860243
499	0.02837463814
500	0.02830280063
501	0.02823176884
502	0.02809781458
503	0.02800903228
504	0.02795113403
505	0.02787337278
506	0.0277611105
507	0.02767776856
508	0.02758308631
509	0.02751942418
510	0.02746750868
511	0.0273801885
512	0.02729928999
513	0.02722353731
514	0.02712965605
515	0.02700970583
516	0.02695439243
517	0.02686789733
518	0.0267883975
519	0.0267190946
520	0.02663941268
521	0.02657566619
522	0.02651480085
523	0.02644624713
524	0.02633272164
525	0.02628120386
526	0.0262145825
527	0.02612682902
528	0.02606307513
529	0.02598949013
530	0.02593161957
531	0.02586910499
532	0.02577733449
533	0.02570125529
534	0.02563663989
535	0.02554742126
536	0.02549575555
537	0.02541914076
538	0.02535081047
539	0.02530804
540	0.02520506038
541	0.02512663234
542	0.02505949148
543	0.02499774468
544	0.02492830831
545	0.0248665747
546	0.02484605756
547	0.02476780493
548	0.02471567018
549	0.0246765086
550	0.02461765441
551	0.02454337352
552	0.02446930156
553	0.02442048944
554	0.02435390352
555	0.02427948241
556	0.0241825369
557	0.02412727372
558	0.02405239668
559	0.02401619879
560	0.02395682934
561	0.02392487314
562	0.02387065152
563	0.02380521157
564	0.02368430802
565	0.0235990923
566	0.02353865859
567	0.02348956238
568	0.02343857081
569	0.02338266281
570	0.02333467645
571	0.02327645167
572	0.02322414699
573	0.02317874584
574	0.02312963865
575	0.02306960844
576	0.02301593509
577	0.02297411434
578	0.02293601931
579	0.02289646832
580	0.02285449402
581	0.02279389337
582	0.0227330029
583	0.02267089641
584	0.02260617457
585	0.02257558984
586	0.02251822773
587	0.02246847509
588	0.02241889842
589	0.02234423414
590	0.02229704232
591	0.02223088218
